timestamp,ch_cane_feed_rate_tph,ch_trash_pct,ch_cane_pol_pct,ch_cane_brix_pct,ch_net_cane_tph,ch_fibre_tph,ch_sucrose_tph,ch_cane_purity_pct,mill_imbibition_water_pct,mill_mill_speed_rpm,mill_bagasse_moisture_pct,mill_juice_tph,mill_imbibition_tph,mill_mill_extraction_pct,mill_juice_brix_pct,mill_juice_pol_pct,mill_bagasse_wet_tph,mill_shift,mill_cane_source,clar_lime_dosage_kg_tc,clar_clarification_temp_c,clar_clarified_juice_tph,clar_mud_tph,clar_estimated_ph,clar_clarified_purity_pct,clar_turbidity_reduction_pct,evap_juice_brix_in_pct,evap_steam_flow_tph,evap_steam_economy,evap_syrup_out_tph,evap_water_evaporated_tph,evap_juice_brix_out_pct,evap_actual_steam_needed_tph,cryst_supersaturation_coeff,cryst_vacuum_pressure_mbar,cryst_massecuite_brix_pct,cryst_pan_temp_c,cryst_crystal_yield_pct,cryst_crystal_tph,cryst_molasses_tph,cryst_massecuite_tph,cent_centrifuge_speed_rpm,cent_wash_water_m3_hr,cent_sugar_tph,cent_molasses_tph_out,cent_g_factor,cent_separation_efficiency_pct,cent_final_sugar_purity_pct
12/02/2025 10:00 PM,201.748,4.136,14.059,17.476,193.404,24.175,27.191,80.448,25.198,6.612,52.966,234.565,48.735,96.084,15.772,13.88,51.4,morning,member,0.58,106.953,215.8,18.765,6.871,81.852,91.053,15.772,23.423,2.925,147.293,68.506,45.0,23.423,0.989,73.932,87.871,70.444,30.0,19.885,46.397,66.282,916.128,1.931,28.225,38.057,211.097,85.166,99.779
12/02/2025 11:00 PM,228.632,6.586,18.47,20.498,213.574,26.697,39.446,90.106,29.129,4.854,40.832,267.302,62.213,96.027,15.222,13.395,45.12,night,estate,0.975,96.212,245.918,21.384,7.463,91.517,91.318,15.222,52.455,2.842,96.848,149.07,45.0,52.455,1.019,95.335,88.229,73.315,30.0,13.074,30.507,43.582,815.595,1.61,18.522,25.059,167.309,85.0,99.683
13/02/2025 12:00 AM,178.848,1.353,18.324,20.685,176.428,22.054,32.33,88.587,24.809,6.453,53.326,213.335,43.77,96.11,15.827,13.928,47.25,morning,estate,1.105,88.023,196.268,17.067,7.657,89.554,86.298,15.827,47.582,4.321,29.44,166.828,78.0,38.608,1.118,96.334,89.42,73.432,38.643,8.874,14.09,22.963,1196.504,0.425,10.035,12.928,360.08,87.401,99.327
13/02/2025 01:00 AM,193.636,4.866,17.595,20.595,184.213,23.027,32.413,85.437,37.614,7.268,44.031,246.515,69.29,96.206,14.034,12.35,41.142,morning,estate,1.258,87.447,226.794,19.721,7.886,86.243,84.002,14.034,45.668,4.098,39.666,187.128,78.0,45.668,1.34,64.019,92.084,68.818,46.412,14.36,16.58,30.939,1149.8,0.461,13.457,17.483,332.518,86.988,99.338
13/02/2025 02:00 AM,281.253,9.938,12.801,14.849,253.303,31.663,32.424,86.206,15.096,5.942,42.95,281.19,38.238,95.913,17.187,15.124,55.501,morning,estate,1.532,101.931,258.695,22.495,8.298,87.345,86.088,17.187,41.303,4.002,93.38,165.314,45.0,41.303,1.07,80.749,88.84,71.44,30.0,12.606,29.415,42.021,1232.408,0.732,18.433,23.588,382.014,87.73,99.42
13/02/2025 03:00 AM,286.141,7.307,12.548,15.451,265.232,33.154,33.281,81.21,25.05,5.739,40.402,320.466,66.441,95.774,15.793,13.898,55.63,night,member,0.503,104.297,294.828,25.637,6.755,82.651,91.076,15.793,49.34,4.459,74.806,220.022,59.907,49.34,1.331,72.115,91.967,70.163,30.0,13.444,31.37,44.814,1310.821,0.332,19.826,24.988,432.173,88.483,99.299
13/02/2025 04:00 AM,279.083,5.695,15.487,17.402,263.188,32.899,40.76,88.995,33.571,6.722,49.835,341.134,88.355,96.045,14.6,12.848,65.58,morning,member,1.207,94.876,313.843,27.291,7.811,90.144,87.651,14.6,40.626,2.795,200.305,113.539,45.0,40.626,1.238,51.207,90.861,66.297,30.0,27.041,63.096,90.137,1081.832,0.91,38.946,51.191,294.368,86.416,99.473
13/02/2025 05:00 AM,127.674,5.564,17.357,19.342,120.571,15.071,20.928,89.737,37.272,5.018,55.047,160.827,44.939,96.116,14.082,12.392,33.527,morning,member,1.306,105.786,147.961,12.866,7.959,90.931,87.655,14.082,40.662,3.401,22.194,125.767,78.0,36.983,1.094,70.936,89.132,69.977,37.803,6.544,10.767,17.311,985.901,0.484,7.415,9.896,244.477,85.667,99.345
13/02/2025 06:00 AM,270.017,0.916,12.863,16.335,267.544,33.443,34.413,78.741,23.96,6.87,51.909,320.537,64.104,95.847,15.946,14.032,69.542,morning,member,1.197,93.079,294.894,25.643,7.796,79.827,87.067,15.946,35.506,3.998,152.946,141.948,45.0,35.506,1.047,42.151,88.566,64.099,30.0,20.648,48.178,68.826,1185.925,0.432,30.045,38.781,353.741,87.306,99.33
13/02/2025 07:00 AM,289.673,9.594,16.49,18.728,261.88,32.735,43.184,88.051,31.84,2.555,57.315,335.016,83.382,96.087,14.842,13.061,76.691,night,estate,1.426,95.353,308.214,26.801,8.139,89.021,84.89,14.842,52.491,3.883,104.383,203.831,45.0,52.491,1.057,49.776,88.683,65.977,30.0,14.092,32.881,46.972,818.918,0.782,19.963,27.009,168.675,85.0,99.435
13/02/2025 08:00 AM,172.25,9.318,15.695,18.654,156.2,19.525,24.516,84.136,29.509,3.452,50.682,196.275,46.093,96.147,15.169,13.349,39.59,morning,outside,1.024,91.854,180.573,15.702,7.536,85.328,88.914,15.169,26.065,2.847,106.377,74.196,45.0,26.065,1.003,47.769,88.037,65.512,30.0,14.361,33.509,47.87,1157.238,0.483,20.836,27.034,336.834,87.053,99.345
13/02/2025 09:00 AM,203.729,6.983,17.082,20.262,189.503,23.688,32.371,84.305,20.038,7.548,40.18,220.148,37.973,96.133,16.495,14.515,39.598,morning,member,1.382,104.026,202.536,17.612,8.073,85.5,87.336,16.495,55.237,3.991,30.38,172.156,78.0,43.133,1.1,99.045,89.2,73.746,37.999,9.004,14.692,23.697,870.117,1.757,10.071,13.626,190.426,85.0,99.727
